SessionID,SessionDate,UserID,TrafficSource,LandingPage,Device,Sessions,BounceRate,CTR,Conversions
S001,2025-09-09,U114,Organic,/contact,Mobile,1,0.32,0.02,0
S002,2025-09-10,U194,Email,/home,Tablet,1,0.41,0.01,0
S003,2025-08-27,U164,Email,/home,Tablet,1,0.3,0.07,1
S004,2025-09-02,U128,Social,/blog/article2,Mobile,1,0.6,0.01,0
S005,2025-09-11,U154,Referral,/pricing,Desktop,1,0.31,0.08,0
S006,2025-08-22,U148,Organic,/pricing,Mobile,1,0.5,0.08,1
S007,2025-09-03,U168,Organic,/blog/article1,Desktop,1,0.48,0.08,1
S008,2025-09-17,U146,Email,/product,Tablet,1,0.23,0.07,0
S009,2025-08-22,U129,Organic,/blog/article1,Mobile,1,0.43,0.09,0
S010,2025-08-31,U145,Paid,/contact,Mobile,1,0.55,0.07,0
S011,2025-09-08,U181,Paid,/blog/article2,Tablet,1,0.32,0.05,0
S012,2025-09-18,U181,Email,/product,Tablet,1,0.36,0.08,0
S013,2025-08-27,U104,Referral,/blog/article1,Mobile,1,0.23,0.09,1
S014,2025-09-17,U191,Referral,/product,Tablet,1,0.45,0.09,1
S015,2025-09-03,U118,Referral,/product,Desktop,1,0.57,0.06,1
S016,2025-09-07,U154,Email,/blog/article1,Mobile,1,0.31,0.1,1
S017,2025-09-04,U111,Organic,/home,Desktop,1,0.51,0.08,0
S018,2025-09-08,U108,Social,/blog/article1,Tablet,1,0.7,0.06,1
S019,2025-09-16,U101,Organic,/contact,Tablet,1,0.58,0.08,0
S020,2025-08-23,U137,Social,/product,Mobile,1,0.2,0.07,1
S021,2025-08-28,U164,Paid,/blog/article2,Desktop,1,0.64,0.04,1
S022,2025-09-05,U177,Paid,/product,Mobile,1,0.58,0.06,1
S023,2025-09-18,U100,Email,/pricing,Mobile,1,0.21,0.09,0
S024,2025-08-27,U107,Paid,/blog/article2,Desktop,1,0.24,0.05,0
S025,2025-09-13,U168,Paid,/product,Tablet,1,0.44,0.06,0
S026,2025-09-05,U177,Social,/product,Tablet,1,0.58,0.07,1
S027,2025-08-29,U151,Referral,/blog/article1,Tablet,1,0.43,0.03,0
S028,2025-08-30,U102,Email,/blog/article2,Desktop,1,0.49,0.01,1
S029,2025-09-09,U107,Paid,/home,Desktop,1,0.63,0.02,0
S030,2025-08-28,U185,Social,/product,Tablet,1,0.27,0.09,1
S031,2025-09-07,U160,Paid,/blog/article1,Mobile,1,0.3,0.02,0
S032,2025-08-31,U154,Social,/blog/article1,Tablet,1,0.23,0.07,1
S033,2025-08-23,U107,Social,/contact,Mobile,1,0.6,0.02,0
S034,2025-08-26,U168,Social,/product,Mobile,1,0.29,0.05,0
S035,2025-09-03,U170,Organic,/home,Tablet,1,0.7,0.09,0
S036,2025-09-18,U196,Paid,/product,Mobile,1,0.44,0.03,0
S037,2025-09-17,U107,Paid,/blog/article1,Desktop,1,0.69,0.03,0
S038,2025-08-29,U154,Email,/contact,Tablet,1,0.44,0.03,0
S039,2025-09-19,U107,Email,/contact,Tablet,1,0.23,0.04,0
S040,2025-09-07,U161,Email,/blog/article2,Desktop,1,0.23,0.06,0
S041,2025-08-22,U176,Organic,/contact,Desktop,1,0.4,0.09,1
S042,2025-08-27,U174,Email,/home,Tablet,1,0.24,0.07,1
S043,2025-09-05,U140,Referral,/product,Tablet,1,0.56,0.03,0
S044,2025-08-24,U185,Referral,/blog/article1,Mobile,1,0.66,0.09,0
S045,2025-09-03,U179,Email,/home,Desktop,1,0.47,0.06,0
S046,2025-09-18,U144,Organic,/product,Mobile,1,0.34,0.05,1
S047,2025-09-11,U138,Email,/contact,Tablet,1,0.2,0.08,0
S048,2025-09-18,U184,Organic,/product,Mobile,1,0.26,0.02,1
S049,2025-08-24,U134,Referral,/blog/article2,Desktop,1,0.56,0.03,1
S050,2025-09-16,U133,Email,/blog/article1,Mobile,1,0.65,0.09,0
S051,2025-09-09,U154,Referral,/home,Desktop,1,0.37,0.02,0
S052,2025-08-25,U194,Social,/blog/article2,Tablet,1,0.41,0.01,0
S053,2025-09-19,U188,Paid,/blog/article2,Desktop,1,0.62,0.06,0
S054,2025-09-02,U116,Organic,/pricing,Mobile,1,0.65,0.08,0
S055,2025-09-17,U145,Paid,/contact,Desktop,1,0.53,0.04,1
S056,2025-09-17,U152,Email,/contact,Desktop,1,0.66,0.03,0
S057,2025-09-14,U122,Social,/home,Desktop,1,0.57,0.04,0
S058,2025-09-14,U185,Paid,/pricing,Desktop,1,0.59,0.02,0
S059,2025-09-16,U160,Paid,/product,Mobile,1,0.37,0.08,0
S060,2025-08-27,U103,Paid,/blog/article1,Mobile,1,0.34,0.02,0
S061,2025-08-31,U182,Email,/blog/article1,Tablet,1,0.69,0.06,0
S062,2025-08-23,U133,Paid,/blog/article2,Mobile,1,0.22,0.06,0
S063,2025-09-12,U200,Referral,/blog/article1,Tablet,1,0.69,0.02,1
S064,2025-08-26,U132,Organic,/contact,Mobile,1,0.2,0.09,1
S065,2025-09-10,U192,Paid,/pricing,Mobile,1,0.23,0.07,0
S066,2025-09-08,U140,Organic,/contact,Mobile,1,0.45,0.07,0
S067,2025-09-01,U189,Referral,/blog/article2,Desktop,1,0.3,0.07,0
S068,2025-09-10,U195,Paid,/blog/article2,Tablet,1,0.35,0.06,0
S069,2025-08-29,U136,Paid,/blog/article1,Tablet,1,0.5,0.04,0
S070,2025-09-03,U186,Paid,/blog/article2,Mobile,1,0.6,0.1,1
S071,2025-08-25,U184,Organic,/pricing,Tablet,1,0.53,0.07,0
S072,2025-09-15,U196,Paid,/contact,Mobile,1,0.31,0.03,0
S073,2025-08-21,U131,Social,/blog/article2,Desktop,1,0.43,0.09,1
S074,2025-08-26,U191,Social,/blog/article1,Mobile,1,0.32,0.07,0
S075,2025-09-17,U196,Organic,/blog/article1,Desktop,1,0.29,0.1,1
S076,2025-09-03,U106,Email,/product,Desktop,1,0.43,0.08,1
S077,2025-09-05,U171,Email,/pricing,Mobile,1,0.51,0.07,1
S078,2025-09-02,U170,Social,/product,Tablet,1,0.63,0.05,0
S079,2025-09-15,U181,Referral,/blog/article2,Mobile,1,0.51,0.03,0
S080,2025-09-11,U136,Paid,/pricing,Mobile,1,0.36,0.06,0
S081,2025-08-24,U129,Social,/contact,Desktop,1,0.55,0.02,0
S082,2025-08-30,U169,Social,/blog/article1,Desktop,1,0.3,0.05,1
S083,2025-09-19,U189,Organic,/blog/article2,Mobile,1,0.44,0.09,0
S084,2025-09-13,U149,Social,/blog/article2,Tablet,1,0.57,0.08,0
S085,2025-09-04,U128,Referral,/blog/article1,Mobile,1,0.21,0.04,1
S086,2025-09-14,U151,Paid,/blog/article1,Desktop,1,0.69,0.06,0
S087,2025-09-07,U172,Organic,/home,Tablet,1,0.41,0.09,0
S088,2025-08-21,U133,Social,/pricing,Desktop,1,0.43,0.04,0
S089,2025-08-28,U196,Social,/pricing,Desktop,1,0.44,0.08,0
S090,2025-09-19,U144,Paid,/contact,Desktop,1,0.59,0.07,0
S091,2025-09-19,U131,Paid,/home,Tablet,1,0.28,0.02,1
S092,2025-08-23,U172,Paid,/blog/article1,Tablet,1,0.33,0.04,1
S093,2025-09-08,U195,Organic,/product,Mobile,1,0.25,0.01,0
S094,2025-09-07,U186,Social,/blog/article1,Tablet,1,0.3,0.06,1
S095,2025-08-27,U113,Referral,/contact,Tablet,1,0.6,0.08,1
S096,2025-09-14,U105,Referral,/blog/article2,Mobile,1,0.53,0.02,1
S097,2025-08-30,U101,Social,/blog/article1,Desktop,1,0.42,0.04,0
S098,2025-09-11,U119,Social,/product,Tablet,1,0.46,0.07,1
S099,2025-09-14,U168,Social,/blog/article1,Mobile,1,0.61,0.06,0
S100,2025-09-16,U131,Organic,/pricing,Mobile,1,0.32,0.05,1
S101,2025-09-10,U148,Referral,/home,Mobile,1,0.63,0.03,0
S102,2025-08-31,U133,Referral,/pricing,Tablet,1,0.55,0.03,0
S103,2025-09-05,U124,Organic,/product,Tablet,1,0.4,0.06,0
S104,2025-09-11,U160,Social,/blog/article1,Desktop,1,0.25,0.03,1
S105,2025-08-27,U139,Email,/pricing,Mobile,1,0.48,0.04,1
S106,2025-09-06,U142,Referral,/contact,Mobile,1,0.34,0.03,0
S107,2025-09-12,U124,Referral,/home,Tablet,1,0.47,0.08,0
S108,2025-08-26,U127,Social,/pricing,Tablet,1,0.49,0.08,1
S109,2025-08-29,U112,Paid,/pricing,Desktop,1,0.38,0.04,1
S110,2025-09-06,U116,Referral,/home,Desktop,1,0.48,0.07,0
S111,2025-09-09,U196,Social,/home,Desktop,1,0.49,0.05,0
S112,2025-08-30,U123,Organic,/pricing,Mobile,1,0.26,0.02,0
S113,2025-08-22,U173,Organic,/product,Desktop,1,0.61,0.1,0
S114,2025-08-27,U115,Email,/blog/article1,Tablet,1,0.5,0.07,1
S115,2025-09-01,U157,Social,/pricing,Tablet,1,0.7,0.04,1
S116,2025-08-21,U178,Organic,/product,Tablet,1,0.31,0.07,0
S117,2025-08-27,U122,Email,/home,Desktop,1,0.2,0.05,1
S118,2025-09-04,U137,Organic,/product,Mobile,1,0.55,0.07,0
S119,2025-08-22,U187,Paid,/pricing,Tablet,1,0.49,0.08,0
S120,2025-09-02,U114,Email,/product,Tablet,1,0.27,0.03,0
S121,2025-08-22,U107,Paid,/pricing,Tablet,1,0.57,0.06,0
S122,2025-09-03,U115,Social,/contact,Mobile,1,0.55,0.09,1
S123,2025-09-06,U163,Social,/home,Tablet,1,0.22,0.05,0
S124,2025-09-08,U132,Organic,/home,Desktop,1,0.68,0.09,1
S125,2025-09-07,U102,Referral,/blog/article2,Desktop,1,0.58,0.03,1
S126,2025-09-09,U156,Referral,/product,Tablet,1,0.42,0.08,0
S127,2025-09-04,U144,Social,/pricing,Mobile,1,0.54,0.09,0
S128,2025-09-02,U188,Social,/pricing,Tablet,1,0.67,0.08,1
S129,2025-08-21,U158,Organic,/pricing,Mobile,1,0.36,0.1,0
S130,2025-09-16,U165,Organic,/contact,Tablet,1,0.43,0.01,1
S131,2025-08-31,U179,Social,/contact,Mobile,1,0.58,0.03,1
S132,2025-08-24,U136,Social,/contact,Mobile,1,0.26,0.1,1
S133,2025-09-14,U130,Paid,/pricing,Tablet,1,0.21,0.05,0
S134,2025-09-15,U114,Social,/home,Tablet,1,0.62,0.05,1
S135,2025-08-29,U165,Referral,/blog/article1,Mobile,1,0.69,0.03,1
S136,2025-08-24,U149,Paid,/blog/article2,Tablet,1,0.57,0.02,0
S137,2025-08-28,U198,Social,/pricing,Tablet,1,0.33,0.01,1
S138,2025-08-29,U175,Email,/contact,Mobile,1,0.63,0.05,0
S139,2025-08-31,U142,Email,/blog/article2,Mobile,1,0.43,0.04,0
S140,2025-09-11,U130,Email,/blog/article1,Desktop,1,0.63,0.05,0
S141,2025-09-12,U160,Social,/blog/article1,Tablet,1,0.6,0.07,0
S142,2025-09-04,U104,Paid,/blog/article2,Tablet,1,0.37,0.02,0
S143,2025-08-23,U167,Social,/home,Tablet,1,0.27,0.09,0
S144,2025-08-22,U160,Referral,/pricing,Tablet,1,0.55,0.07,0
S145,2025-09-16,U186,Email,/blog/article1,Mobile,1,0.51,0.09,0
S146,2025-09-16,U169,Organic,/blog/article2,Desktop,1,0.32,0.07,0
S147,2025-08-27,U195,Organic,/blog/article1,Desktop,1,0.58,0.07,0
S148,2025-09-03,U121,Referral,/home,Desktop,1,0.36,0.02,0
S149,2025-08-31,U155,Paid,/product,Tablet,1,0.41,0.07,0
S150,2025-08-25,U122,Organic,/blog/article2,Mobile,1,0.51,0.03,1
S151,2025-08-24,U129,Social,/contact,Mobile,1,0.43,0.07,0
S152,2025-09-17,U136,Email,/product,Desktop,1,0.42,0.04,1
S153,2025-08-29,U181,Social,/contact,Mobile,1,0.43,0.04,0
S154,2025-09-16,U161,Organic,/product,Mobile,1,0.49,0.06,1
S155,2025-08-29,U102,Social,/pricing,Desktop,1,0.48,0.07,1
S156,2025-08-21,U177,Social,/pricing,Desktop,1,0.5,0.04,1
S157,2025-08-26,U179,Referral,/contact,Tablet,1,0.58,0.07,0
S158,2025-09-09,U112,Organic,/pricing,Mobile,1,0.22,0.04,0
S159,2025-08-22,U137,Referral,/contact,Mobile,1,0.29,0.02,1
S160,2025-09-17,U146,Email,/blog/article2,Mobile,1,0.62,0.03,0
S161,2025-09-19,U137,Referral,/home,Mobile,1,0.68,0.02,0
S162,2025-09-16,U186,Social,/blog/article2,Mobile,1,0.25,0.05,0
S163,2025-09-06,U115,Social,/pricing,Tablet,1,0.57,0.03,0
S164,2025-09-15,U181,Referral,/home,Tablet,1,0.32,0.01,1
S165,2025-08-30,U178,Paid,/contact,Desktop,1,0.52,0.05,1
S166,2025-08-29,U183,Social,/home,Desktop,1,0.22,0.01,0
S167,2025-08-23,U112,Paid,/blog/article2,Desktop,1,0.39,0.04,1
S168,2025-09-11,U169,Social,/blog/article2,Tablet,1,0.56,0.09,1
S169,2025-08-23,U162,Email,/blog/article1,Mobile,1,0.22,0.04,0
S170,2025-09-03,U130,Referral,/home,Tablet,1,0.38,0.09,1
S171,2025-08-31,U107,Social,/pricing,Desktop,1,0.68,0.1,0
S172,2025-08-22,U184,Paid,/contact,Tablet,1,0.5,0.01,0
S173,2025-08-27,U116,Email,/product,Desktop,1,0.61,0.06,1
S174,2025-08-26,U129,Referral,/product,Tablet,1,0.2,0.09,0
S175,2025-08-24,U169,Referral,/product,Desktop,1,0.53,0.01,0
S176,2025-08-31,U200,Paid,/blog/article2,Mobile,1,0.21,0.03,0
S177,2025-09-12,U153,Email,/home,Tablet,1,0.23,0.05,0
S178,2025-09-05,U175,Organic,/blog/article1,Tablet,1,0.31,0.07,1
S179,2025-09-14,U184,Email,/pricing,Mobile,1,0.52,0.01,0
S180,2025-09-16,U151,Social,/contact,Desktop,1,0.45,0.09,0
S181,2025-09-17,U110,Referral,/blog/article2,Desktop,1,0.23,0.03,1
S182,2025-09-07,U170,Referral,/blog/article1,Tablet,1,0.47,0.05,1
S183,2025-09-02,U112,Organic,/contact,Tablet,1,0.64,0.06,0
S184,2025-09-02,U157,Paid,/blog/article1,Mobile,1,0.61,0.05,1
S185,2025-08-23,U140,Social,/pricing,Tablet,1,0.33,0.1,1
S186,2025-09-18,U160,Organic,/home,Desktop,1,0.25,0.02,1
S187,2025-08-31,U116,Email,/home,Tablet,1,0.68,0.06,1
S188,2025-08-23,U152,Referral,/contact,Mobile,1,0.63,0.07,0
S189,2025-09-08,U139,Referral,/home,Tablet,1,0.45,0.02,0
S190,2025-08-27,U113,Referral,/blog/article2,Mobile,1,0.26,0.04,0
S191,2025-09-14,U154,Email,/blog/article2,Tablet,1,0.54,0.06,1
S192,2025-09-18,U184,Referral,/home,Desktop,1,0.34,0.08,0
S193,2025-08-31,U100,Paid,/product,Tablet,1,0.53,0.02,1
S194,2025-09-09,U103,Organic,/contact,Tablet,1,0.31,0.05,0
S195,2025-08-25,U147,Referral,/contact,Mobile,1,0.59,0.06,0
S196,2025-09-17,U106,Paid,/product,Tablet,1,0.22,0.02,0
S197,2025-09-10,U154,Social,/blog/article2,Mobile,1,0.41,0.03,1
S198,2025-08-23,U144,Social,/home,Mobile,1,0.54,0.06,1
S199,2025-09-10,U139,Organic,/product,Mobile,1,0.69,0.01,0
S200,2025-08-29,U127,Paid,/pricing,Mobile,1,0.36,0.01,1
